index,player_name,player_team,game_date,events,launch_speed,launch_angle,hit_distance_sc,hit_direction,total_dongs
679,Akil Baddoo,DET,2021-04-26,triple,97.1,30,383,Left-Center,20
728,Ramón Laureano,OAK,2021-04-25,home_run,109.6,28,405,Left-Center,20
743,Fernando Tatis Jr.,SD,2021-04-25,home_run,104.2,30,408,Right-Center,20
983,J.T. Realmuto,PHI,2021-04-23,field_out,92.8,37,352,Right,20
1011,Jake Cave,MIN,2021-04-23,home_run,101.9,30,371,Left,20
238,Yoán Moncada,CWS,2021-04-29,home_run,109.2,20,380,Right,19
680,Corey Seager,LAD,2021-04-26,home_run,105.4,28,412,Center,19
753,David Dahl,TEX,2021-04-25,home_run,99.7,27,377,Right-Center,19
886,Alex Bregman,HOU,2021-04-24,home_run,97,29,387,Left-Center,19
992,Billy McKinney,MIL,2021-04-23,home_run,101,28,415,Center,19
1031,Yoán Moncada,CWS,2021-04-23,home_run,108.5,23,407,Left-Center,19
1175,Mitch Haniger,SEA,2021-04-22,home_run,104.1,28,396,Right-Center,19
1201,Jesse Winker,CIN,2021-04-22,home_run,104.8,24,415,Center,19
1421,Brad Miller,PHI,2021-04-20,home_run,97.8,29,384,Right-Center,19
1440,Wilmer Flores,SF,2021-04-20,home_run,100.7,38,367,Left,19
151,José Ramírez,CLE,2021-04-30,home_run,96.2,33,356,Right,18
309,Shohei Ohtani,LAA,2021-04-28,double,105,22,378,Left,18
364,Josh Bell,WSH,2021-04-28,home_run,103.6,26,372,Left,18
511,Jon Berti,MIA,2021-04-27,home_run,104.2,25,413,Center,18
660,Salvador Perez,KC,2021-04-26,double,104.5,26,389,Right-Center,18
1015,J.D. Martinez,BOS,2021-04-23,home_run,98.2,35,343,Right,18
1301,Austin Meadows,TB,2021-04-21,double,110.3,20,350,Right,18
104,Xander Bogaerts,BOS,2021-04-30,home_run,102.6,23,405,Left-Center,17
443,Phillip Evans,PIT,2021-04-27,field_out,100.6,38,372,Left-Center,17
593,Sean Murphy,OAK,2021-04-26,home_run,102.9,40,367,Left,17
1023,Mike Brosseau,TB,2021-04-23,field_out,101.8,35,390,Left-Center,17
1317,Andrew Benintendi,KC,2021-04-21,field_out,102.8,29,384,Left-Center,17
165,Miguel Rojas,MIA,2021-04-30,field_out,101,35,373,Left-Center,16
343,Mike Ford,NYY,2021-04-28,home_run,98.3,30,344,Left,16
462,Jesús Aguilar,MIA,2021-04-27,home_run,103.1,25,394,Right-Center,16
1081,Rowdy Tellez,TOR,2021-04-23,double,105,21,408,Right-Center,16
1426,Tim Anderson,CWS,2021-04-20,home_run,105.5,29,407,Right-Center,16
1449,Scott Schebler,LAA,2021-04-20,double,100.2,29,352,Left,16
1454,Willians Astudillo,MIN,2021-04-20,field_out,99.7,32,369,Left,16
70,Clint Frazier,NYY,2021-04-30,home_run,106.7,20,364,Left,15
224,Javier Báez,CHC,2021-04-29,triple,107.1,39,382,Right-Center,15
839,J.D. Davis,NYM,2021-04-24,field_out,100.6,34,349,Right,15
1018,Ryan O'Hearn,KC,2021-04-23,home_run,107.2,23,358,Right,15
1244,Willy Adames,TB,2021-04-21,field_out,105.8,37,391,Right-Center,15
3,Mitch Moreland,OAK,2021-04-30,home_run,108,20,406,Right-Center,14
324,Amed Rosario,CLE,2021-04-28,home_run,97.5,25,362,Right,14
410,Byron Buxton,MIN,2021-04-28,home_run,97.7,32,350,Right,14
416,Niko Goodrum,DET,2021-04-27,home_run,105.3,40,368,Right-Center,14
669,Buster Posey,SF,2021-04-26,home_run,103.5,40,405,Center,14
766,Ryan McMahon,COL,2021-04-25,field_out,102.4,39,407,Center,14
773,J.D. Davis,NYM,2021-04-25,home_run,101.9,30,406,Center,14
1057,Adolis García,TEX,2021-04-23,home_run,104.1,21,405,Left-Center,14
1098,Jesús Aguilar,MIA,2021-04-23,home_run,99.8,40,353,Left,14
1119,Mitch Haniger,SEA,2021-04-23,double,105.8,22,374,Left,14
1197,Carson Kelly,ARI,2021-04-22,home_run,107,23,378,Left-Center,14
463,Alec Bohm,PHI,2021-04-27,field_out,101.8,31,383,Right-Center,13
476,Bobby Dalbec,BOS,2021-04-27,home_run,105.2,31,390,Right-Center,13
1198,Sheldon Neuse,LAD,2021-04-22,home_run,108.7,37,399,Center,13
1417,Bobby Dalbec,BOS,2021-04-20,triple,101.3,28,404,Right-Center,13
1451,Andrew Young,ARI,2021-04-20,home_run,115.9,17,414,Center,13
279,Josh Harrison,WSH,2021-04-28,home_run,98.4,31,407,Center,12
709,Franmil Reyes,CLE,2021-04-25,home_run,107.5,39,342,Right,12
868,Aaron Hicks,NYY,2021-04-24,home_run,103,25,395,Right-Center,12
959,Jesús Aguilar,MIA,2021-04-24,home_run,110.6,16,407,Left-Center,12
1044,Andrew Benintendi,KC,2021-04-23,home_run,98.9,35,361,Left,12
1143,Nick Castellanos,CIN,2021-04-22,home_run,96.8,31,349,Left,12
1145,JaCoby Jones,DET,2021-04-22,home_run,105.5,21,381,Right-Center,12
1338,Joey Votto,CIN,2021-04-21,field_out,95.8,30,352,Right,12
659,Garrett Cooper,MIA,2021-04-26,home_run,106.5,21,412,Center,11
760,Marcus Semien,TOR,2021-04-25,field_out,100.3,33,390,Right-Center,11
872,José Ramírez,CLE,2021-04-24,triple,102.5,37,377,Right-Center,11
1337,Bryce Harper,PHI,2021-04-21,home_run,110.7,19,395,Right-Center,11
42,Nick Senzel,CIN,2021-04-30,home_run,102.2,21,367,Left,10
112,Andrew Benintendi,KC,2021-04-30,field_out,103.7,33,391,Left-Center,10
123,Dylan Carlson,STL,2021-04-30,double,102.6,45,362,Right,10
361,Kyle Lewis,SEA,2021-04-28,home_run,108.3,21,377,Left-Center,10
426,Yuli Gurriel,HOU,2021-04-27,double,103.2,24,411,Center,10
457,Stephen Piscotty,OAK,2021-04-27,field_out,102.3,29,407,Center,10
483,Sandy León,MIA,2021-04-27,single,101.3,25,345,Right,10
530,Ramón Laureano,OAK,2021-04-27,field_out,105.1,37,391,Left-Center,10
560,Jesse Winker,CIN,2021-04-27,home_run,102.3,23,402,Right-Center,10
