stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-35.603331075604665,409.42948021355875,410.97456910571,outfield_outer,-3.7,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-47.87816787544788,401.55846780844496,404.4026731214514,outfield_outer,-5.1,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-60.02555714590197,393.47181853821803,398.02404386474984,outfield_outer,-6.5,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-72.18717221225518,385.40654683849647,392.10865098589187,outfield_outer,-8,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-84.34661881943487,377.33801874499073,386.65014224317315,outfield_outer,-9.5,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-96.52002217891864,369.2906352864486,381.69580557256296,outfield_outer,-11,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-108.68296129821084,361.22743318677584,377.22307003052583,outfield_outer,-12.6,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-120.83501712577073,353.1481278265788,373.24884668435743,outfield_outer,-14.2,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-132.9636028675166,345.03437254015347,369.7675457928779,outfield_outer,-15.8,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-145.13041952095324,336.9769888678174,366.9009807792138,outfield_outer,-17.5,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-157.2375605382909,328.8318386906736,364.4914657172673,outfield_outer,-19.2,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-169.4318716662981,320.8168482489012,362.80932906514875,outfield_outer,-20.9,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-181.5634552383659,312.7066118755674,361.59468108476216,outfield_outer,-22.6,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-193.72668532866118,304.6439265874142,361.0234765427699,outfield_outer,-24.3,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-205.89370832437598,296.5873091692436,361.04882092012946,outfield_outer,-26.1,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-218.04498534824927,288.50654590413376,361.63468122547687,outfield_outer,-27.8,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-226.2637485869714,277.1986192987183,357.8188905937527,outfield_outer,-29.4,7,NNE
Oriole Park at Camden Yards,Baltimore Orioles,orioles,BAL,-231.89372801066185,263.73576020829233,351.1854955765239,outfield_outer,-31,7,NNE
